Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"5,00305548526511E-06","-7,4475665847863E-05","0,0392027603895131",0,0,0,"0,118178990515361","6,01281467093179E-05","1,17913074389477E-08","5,32716165746489E-09","7,70228605279154E-05","-8,25032954942874E-08","4,67283990275665E-05",0,0,0,0,0,0,package://endeffector_v3/meshes/base_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://endeffector_v3/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shaft_1_link,"-0,0176138702453009","0,0359131114633877","3,05635880781032E-16",0,0,0,"0,02252603418623","1,15828043963502E-05","5,4126394645156E-06","1,41434132330888E-22","3,20158690797167E-06","-5,19791053000775E-22","1,44455622067707E-05",0,0,0,0,0,0,package://endeffector_v3/meshes/shaft_1_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://endeffector_v3/meshes/shaft_1_link.STL,,shaft_1-1,Origin_shaft_1_joint2,Axis_shaft_1_joint2,shaft_1_joint,continuous,0,"-0,03","0,061858","1,5708","0,0095643","1,5708",base_link,0,0,1,0,0,0,0,,,,,,,,
arm_1_link,"0,052133063371866","-0,0399533991816599","0,00500000000000001",0,0,0,"0,0329177629039053","5,1601476098587E-05","2,06515660036377E-05","-3,10830600834769E-21","2,93271923454909E-05","4,28945643122403E-21","7,91570014890069E-05",0,0,0,0,0,0,package://endeffector_v3/meshes/arm_1_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://endeffector_v3/meshes/arm_1_link.STL,,arm-1,Origin_arm_1_joint2,,arm_1_joint,fixed,"0,0008828","0,052347","-0,005",0,0,"2,6225",shaft_1_link,0,0,0,0,0,0,0,,,,,,,,
shaft_2_link,"0,0176138702453349","0,0359131114633691","2,90653147256986E-16",0,0,0,"0,02252603418623","1,15828043963493E-05","-5,41263946451629E-06","-4,03791435167346E-22","3,20158690797256E-06","-9,09855425878662E-22","1,44455622067707E-05",0,0,0,0,0,0,package://endeffector_v3/meshes/shaft_2_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://endeffector_v3/meshes/shaft_2_link.STL,,shaft_2-1,Origin_shaft_2_joint2,Axis_shaft_2_joint2,shaft_2_joint,continuous,0,"0,03","0,061858","1,5708","-0,0095643","1,5708",base_link,0,0,1,0,0,0,0,,,,,,,,
arm_2_link,"0,0521330633719039","-0,0399533991816037","0,005",0,0,0,"0,0329177629039054","5,16014760985872E-05","2,06515660036378E-05","-2,97315928041156E-21","2,9327192345491E-05","1,68346057559521E-21","7,91570014890072E-05",0,0,0,0,0,0,package://endeffector_v3/meshes/arm_2_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://endeffector_v3/meshes/arm_2_link.STL,,arm-2,Origin_arm_2_joint2,,arm_2_joint,fixed,"-0,0008828","0,052347","0,005","-3,1416",0,"0,5191",shaft_2_link,0,0,0,0,0,0,0,,,,,,,,
actuactor_link,"1,85604996915239E-08","0,0435532153475376","-3,84647067919937E-11",0,0,0,"0,0512156078297464","6,40991174505962E-06","-1,81917662185554E-11","8,7299032106187E-14","9,65773691375466E-06","-3,89986107681141E-13","1,21277508668611E-05",0,0,0,0,0,0,package://endeffector_v3/meshes/actuactor_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://endeffector_v3/meshes/actuactor_link.STL,,actuactor-1,Origin_actuactor_joint2,Axis_actuactor_joint2,actuactor_joint,prismatic,0,0,"0,054443","1,5708",0,"-1,5708",base_link,0,1,0,0,0,0,0,,,,,,,,
